,final_average_ratings
4645,-7.461538461538462
4647,-4.5
4654,-7.44
4655,-4.5
4656,-6.333333333333333
4659,-4.0
4661,-7.571428571428571
4666,-7.714285714285714
4667,-5.5
4668,-8.75
4669,-8.75
4672,-9.38888888888889
4673,-6.708333333333333
4675,-7.0
4676,-8.263157894736842
4677,-8.705882352941176
4678,-7.8
4680,-7.904761904761905
4679,-7.904761904761905
4681,-8.0
4682,-7.8
4683,-4.636363636363637
4684,-6.7
4686,-6.68
4687,-6.333333333333333
4688,-6.6521739130434785
4694,0.5125
4697,-0.3333333333333333
4698,-4.2
4701,-8.705882352941176
4704,-10.0
4706,-10.0
4707,-3.515151515151515
4729,-10.0
4731,-1.75
4732,-0.9
4735,-0.8
4736,-4.5
4737,-10.0
4739,-10.0
4741,-4.333333333333333
4742,-4.666666666666667
4743,-8.625
4744,-9.421052631578947
4746,-3.727272727272727
4745,-4.5
4747,-10.0
4748,-6.142857142857143
4751,-10.0
4756,-0.4
4766,-10.0
4775,-4.5
4776,-4.5
4789,-4.5
4793,-10.0
4777,-4.5
4796,-4.5
4804,-4.5
4802,-4.0
4733,-3.0689655172413794
4791,-2.0
4795,-0.5
4814,-3.4
4818,-4.5
4831,-10.0
4835,-4.333333333333333
4843,-10.0
4844,-1.625
4853,-8.5
4857,0.0
4858,-3.0
4868,-8.0
4871,-4.5
4870,-8.714285714285714
4883,-1.5
3531,-0.875
4524,-2.0
4566,-3.3333333333333335
4740,-2.6666666666666665
4898,-2.0
4901,-10.0
4888,-1.0
4907,0.16666666666666666
4909,-1.0
4910,-1.0
4911,-1.0
4912,-1.0
4913,-1.0
4914,-1.0
4919,-2.6666666666666665
1535,-5.6
3270,-0.625
3660,-1.25
4330,-0.8333333333333334
4528,-4.5
4708,-5.75
4890,-1.0476190476190477
4926,0.0
4934,-2.3333333333333335
4965,-1.75
4966,-4.5
4967,-6.333333333333333
4980,-1.75
4977,-10.0
4986,-1.8571428571428572
4996,-1.2
5007,-2.6666666666666665
4988,-0.5
5021,-4.6
5027,-4.375
5037,-4.0
5036,-10.0
5051,-10.0
5062,-8.0
5063,-1.5
5066,-6.5
5067,-1.0
5068,-0.5
5069,-0.125
5070,-0.375
5072,-1.2857142857142858
5077,-5.0
5081,-5.5
5082,-1.0
5096,-4.5
5100,-1.0
204,-0.7741935483870968
574,-3.5
3743,-0.6666666666666666
4434,-0.5384615384615384
4899,-1.3076923076923077
5071,0.375
5076,-2.6666666666666665
5080,-2.25
5086,0.6
5106,-10.0
5108,-10.0
5109,-10.0
5110,-10.0
5111,-10.0
5112,-10.0
5113,-10.0
5083,-10.0
5115,-5.0
5118,-2.0
5129,-5.0
5147,-10.0
5148,-10.0
5149,-9.666666666666666
5150,-10.0
5152,-10.0
5153,-10.0
5154,-10.0
5159,-10.0
5160,-10.0
5161,-10.0
5166,-10.0
5167,-10.0
5168,-10.0
5170,-10.0
5171,-10.0
5164,-10.0
5172,-10.0
5173,-10.0
5174,-10.0
5169,-10.0
5116,-10.0
5114,-10.0
5107,-10.0
5176,-10.0
5177,-10.0
5181,-10.0
5182,-10.0
5185,-10.0
5186,-0.8333333333333334
5189,-10.0
5190,-10.0
5191,-10.0
5192,-3.25
5195,-3.5
5196,-10.0
5193,-7.555555555555555
5197,-7.25
5198,-6.857142857142857
5199,-10.0
5200,-6.666666666666667
5201,-6.0
5202,-6.0
5203,-6.0
5204,-5.0
5205,-10.0
5207,-10.0
5209,-10.0
5210,-10.0
5213,-3.25
5214,-10.0
5215,-2.5
5216,-3.6666666666666665
5217,-5.75
5220,-1.0
5222,-10.0
5223,-10.0
5225,-10.0
5228,0.42857142857142855
5230,-10.0
5231,-1.7777777777777777
5232,-2.0
5233,-2.0
5235,-6.0
5237,-0.4
5238,-10.0
5239,-3.0
5240,-0.6666666666666666
5243,-5.5
3776,-1.6
5188,-10.0
5262,-2.0
5270,-6.0
5273,-2.0
5276,-2.0
5277,-1.0
5281,-2.0
5285,-6.0
5288,-2.0
5289,-2.0
5291,-2.0
5295,-2.0
5300,-5.0
5301,-2.0
5303,-2.0
5304,-10.0
5305,-2.6666666666666665
5313,-2.0
5314,-2.0
5319,-2.0
5320,-2.0
5323,-1.0
5324,-1.0
5325,-1.0
5326,-2.0
5327,-2.0
5328,-2.0
5329,-2.0
5330,-2.0
5331,-2.0
5332,-2.0
5333,-2.0
5334,-2.0
5335,-1.0
5336,-2.0
5337,-2.0
5338,-6.0
5340,-2.0
5341,-2.0
5342,-2.0
5343,-1.0
5344,-2.0
5346,-4.333333333333333
5349,-2.0
5350,-2.0
4599,-0.125
4812,-4.5
5312,-1.4285714285714286
5354,-2.0
5357,-2.0
5361,-2.0
5364,-10.0
5367,-4.0
5369,-2.0
5370,-10.0
5371,-10.0
5373,-5.5
5374,-5.5
5375,-5.5
5376,-5.5
5377,-5.5
5378,-5.5
5379,-5.5
5380,-5.5
5381,-5.5
5382,-5.5
5384,-0.75
5385,-1.0
5388,-1.0
5386,-1.0
5387,-1.0
5389,-1.0
5391,-2.0
5392,-2.0
5394,-1.0
5395,-5.5
5396,-6.5
5400,-1.0
5401,-1.0
5402,-1.0
5405,-2.0
5406,-2.0
5407,-2.0
5421,-4.5
5430,-1.0
5431,-1.0
5436,-1.0
5441,-7.0
2212,-0.6666666666666666
3380,-0.3333333333333333
5103,0.0
5345,-2.6666666666666665
5363,-1.5333333333333334
5447,-10.0
5448,-4.5
5452,-1.0
5454,-10.0
5461,-10.0
5463,-5.0
5462,-5.0
5467,-2.0
5471,-6.833333333333333
5477,-5.5
4991,-5.0
5479,-4.142857142857143
5483,-3.6666666666666665
5484,-5.25
5485,-4.666666666666667
62,-0.7307692307692307
4598,-3.3333333333333335
5142,-2.6666666666666665
5480,-3.857142857142857
5490,-4.5
5501,-2.6666666666666665
5505,-4.333333333333333
5512,-3.6666666666666665
5488,-10.0
5532,-10.0
5533,-7.0
5544,-7.25
5546,-10.0
5547,-10.0
4693,0.0
5473,0.5
5553,-5.285714285714286
5561,-2.0
5574,-4.0
5575,-1.0
5576,-10.0
5599,-10.0
5554,-2.25
5610,-1.75
5611,-3.3333333333333335
5608,-2.2857142857142856
5638,-5.5
5639,-1.0
5640,-5.5
5641,-10.0
5654,-3.888888888888889
1991,-0.55
3444,-0.6
5631,-1.2
5686,-10.0
5698,-1.0
5709,-7.5
1154,-0.11764705882352941
3722,-0.5652173913043478
4065,-10.0
5446,-4.5
5609,-1.2857142857142858
5556,-2.6666666666666665
5718,-2.0
5719,-3.75
5730,-4.75
5731,-4.25
5732,-4.25
5733,-6.666666666666667
5736,-4.5
5737,-10.0
5738,-10.0
5742,-10.0
5743,-3.5
5746,-7.5
5750,-5.5
5754,-1.3333333333333333
5635,-2.6666666666666665
5729,4.166666666666667
5776,-10.0
5778,-1.0
5780,-1.0
5791,-10.0
5797,-1.0
5804,-10.0
5726,-1.5
5801,-5.75
5769,-1.0
5810,-1.0
5821,-1.0
5817,-1.0
5871,-10.0
5872,-10.0
5873,-10.0
5874,-10.0
5875,-10.0
5039,-2.0
5138,-1.0
5846,0.0
5887,-10.0
5898,-10.0
2911,-4.5
5901,-10.0
5914,-5.5
3178,-4.5
5549,-10.0
5905,-4.0
5650,-10.0
5016,1.5
5015,-0.5
5944,-10.0
5946,-1.0
5973,-10.0
5975,-10.0
5976,-10.0
5977,-10.0
5993,-10.0
3,-0.2857142857142857
5655,-0.16666666666666666
